ad_id,city_name,street_name,date_last_updated,date_first_added,price,floor_num,rooms_num,sqr_meter,primary_area_id,area_id,city_code,deal_info
56458379,חיפה,ביכורים,2022-06-11 14:54:26,2021-12-06 11:22:26,2290000,,4,120,25,,4000,
82497827,חיפה,מסדה,2022-06-11 12:42:18,2021-08-29 15:52:39,950000,,4,120,25,,4000,
85887966,חיפה,הגליל,2022-06-11 11:51:36,2022-03-09 13:50:38,1550000,,4,120,25,,4000,
92720341,חיפה,הגדוד העברי,2022-06-11 12:59:48,2021-09-09 22:18:12,1180000,,4,120,25,,4000,
77617973,חיפה,שדרות מוריה,2022-06-10 14:21:16,2022-06-10 14:18:12,2700000,,4,120,25,,4000,
53966074,חיפה,אורן,2022-06-02 12:42:57,2022-05-26 13:52:42,1650000,,4,120,25,,4000,
56033193,נשר,דוכיפת,2022-06-02 00:07:26,2022-06-01 23:59:44,1830000,,4,120,25,,2500,
54764905,חיפה,הקיבוצים,2022-05-20 13:47:01,2022-05-16 20:51:13,1380000,,4,120,25,,4000,
52991652,חיפה,אברבנאל,2022-03-05 20:06:10,2022-03-05 20:05:00,לאצויןמחי,,4,120,25,,4000,
67680267,חיפה,,2022-06-11 14:18:36,2022-02-11 05:14:41,2400000,,4,120,25,,4000,
42094065,חיפה,ארתור הנטקה,2022-06-11 13:12:12,2022-06-07 17:47:05,2000000,,4,120,25,,4000,
47972103,חיפה,"ד""ר יואכים כספרי",2022-06-11 13:18:12,2022-05-01 08:28:07,1600000,,4,120,25,,4000,
43016139,חיפה,חניתה,2022-06-11 12:48:12,2022-04-10 23:35:23,1199000,,4,120,25,,4000,
56458379,חיפה,ביכורים,2022-06-11 14:54:26,2021-12-06 11:22:26,2290000,,4,120,25,,4000,
65632787,חיפה,הגפן,2022-06-11 14:51:21,2022-03-16 12:45:03,1400000,,4,120,25,,4000,
98114942,חיפה,,2022-06-11 14:45:29,2022-06-02 10:42:36,2500000,,4,120,25,,4000,
62930493,חיפה,ורדיה,2022-06-11 14:42:16,2022-03-01 11:28:52,3190000,,4,120,25,,4000,
86615033,חיפה,הגדוד העברי,2022-06-11 14:39:46,2022-03-06 21:11:20,1445000,,4,120,25,,4000,
44678783,חיפה,,2022-06-11 14:24:16,2022-03-06 18:30:34,1590000,,4,120,25,,4000,
57541134,חיפה,,2022-06-11 14:15:20,2022-01-12 15:33:10,820000,,4,120,25,,4000,
44149199,חיפה,ליטניס,2022-06-11 14:12:47,2021-01-14 17:54:46,3000000,,4,120,25,,4000,
52631617,חיפה,זאב שוהם,2022-06-11 14:06:38,2019-08-18 14:14:45,1590000,,4,120,25,,4000,
61645028,טירת כרמל,הברוש,2022-06-11 14:03:19,2022-03-10 14:16:47,1360000,,4,120,25,,2100,
41406450,חיפה,הספורט,2022-06-11 13:54:39,2022-05-19 11:14:08,1999000,,4,120,25,,4000,
72496270,חיפה,הירקון,2022-06-11 13:51:17,2021-07-20 11:11:08,2950000,,4,120,25,,4000,
88987950,חיפה,שדרות מוריה,2022-06-11 13:48:43,2022-05-16 12:37:20,2700000,,4,120,25,,4000,
72667439,חיפה,יצחק אלחנן,2022-06-11 13:48:23,2022-05-26 10:54:27,3180000,,4,120,25,,4000,
58751221,חיפה,עין גדי,2022-06-11 13:48:21,2022-01-06 11:17:41,3300000,,4,120,25,,4000,
45049737,נשר,,2022-06-11 13:42:37,2019-08-18 14:14:45,950000,,4,120,25,,2500,
77369371,חיפה,הס,2022-06-11 13:42:17,2022-02-06 14:30:07,1290000,,4,120,25,,4000,
78086942,חיפה,הגיבורים,2022-06-11 13:36:14,2020-05-05 17:08:10,850000,,4,120,25,,4000,
98302727,חיפה,ליונל ווטסון,2022-06-11 13:33:20,2022-03-22 12:49:55,2990000,,4,120,25,,4000,
51294185,חיפה,אידר,2022-06-11 13:30:36,2022-04-05 10:22:29,2099000,,4,120,25,,4000,
84231184,חיפה,,2022-06-11 13:27:21,2022-03-08 07:59:27,1720000,,4,120,25,,4000,
94534695,חיפה,,2022-06-11 13:24:21,2022-02-22 09:18:16,1900000,,4,120,25,,4000,
55662628,חיפה,שדרות אבא חושי,2022-06-11 13:15:52,2022-04-07 14:23:38,2290000,,4,120,25,,4000,
88842234,חיפה,שדרות אבא חושי,2022-06-11 13:12:14,2022-03-07 12:19:29,2290000,,4,120,25,,4000,
61944799,נשר,הערבה,2022-06-11 13:03:20,2019-08-18 14:14:45,1375000,,4,120,25,,2500,
65033798,חיפה,התשבי,2022-06-11 13:03:19,2022-02-06 14:43:03,1990000,,4,120,25,,4000,
